batter_id,batter,pitches_in_zone,swings_in_zone,whiffs_in_zone,pitches_out_zone,swings_out_zone,whiffs_out_zone,pitches,swings,whiffs,swing_rate,whiff_rate,sw_str_rate,z_rate,z_swing_rate,z_whiff_rate,o_rate,o_swing_rate,o_whiff_rate
669190,Cuba Bess,121,94,22,136,44,26,257,138,48,0.5369649805447471,0.34782608695652173,0.1867704280155642,0.4708171206225681,0.7768595041322314,0.23404255319148937,0.5291828793774319,0.3235294117647059,0.5909090909090909
669218,Kier Meredith,143,78,22,230,71,21,373,149,43,0.39946380697050937,0.28859060402684567,0.11528150134048257,0.38337801608579086,0.5454545454545454,0.28205128205128205,0.6166219839142091,0.30869565217391304,0.29577464788732394
669219,Je'Von Ward,492,305,80,645,178,65,1137,483,145,0.42480211081794195,0.3002070393374741,0.12752858399296393,0.43271767810026385,0.6199186991869918,0.26229508196721313,0.5672823218997362,0.27596899224806204,0.3651685393258427
669227,Kendall Simmons,373,216,61,463,120,37,836,336,98,0.4019138755980861,0.2916666666666667,0.11722488038277512,0.4461722488038278,0.579088471849866,0.2824074074074074,0.5538277511961722,0.2591792656587473,0.30833333333333335
669327,Tanner Allen,415,274,43,546,203,54,961,477,97,0.4963579604578564,0.20335429769392033,0.10093652445369407,0.43184183142559834,0.6602409638554216,0.15693430656934307,0.5681581685744017,0.3717948717948718,0.2660098522167488
669336,Joe Gray Jr.,680,491,133,1038,394,139,1718,885,272,0.5151338766006985,0.3073446327683616,0.15832363213038417,0.3958090803259604,0.7220588235294118,0.2708757637474542,0.6041909196740396,0.37957610789980734,0.35279187817258884
669347,David Avitia,20,13,6,24,11,6,44,24,12,0.5454545454545454,0.5,0.2727272727272727,0.45454545454545453,0.65,0.46153846153846156,0.5454545454545454,0.4583333333333333,0.5454545454545454
669398,Gage Workman,398,265,72,339,107,45,737,372,117,0.5047489823609227,0.31451612903225806,0.1587516960651289,0.5400271370420624,0.6658291457286433,0.27169811320754716,0.4599728629579376,0.31563421828908556,0.4205607476635514
669413,Frainyer Chavez,274,179,42,430,140,49,704,319,91,0.453125,0.2852664576802508,0.12926136363636365,0.38920454545454547,0.6532846715328468,0.2346368715083799,0.6107954545454546,0.32558139534883723,0.35
669439,Drew Swift,66,37,7,52,9,4,118,46,11,0.3898305084745763,0.2391304347826087,0.09322033898305085,0.559322033898305,0.5606060606060606,0.1891891891891892,0.4406779661016949,0.17307692307692307,0.4444444444444444
669470,Paxton Wallace,266,174,33,313,120,39,579,294,72,0.5077720207253886,0.24489795918367346,0.12435233160621761,0.459412780656304,0.6541353383458647,0.1896551724137931,0.540587219343696,0.38338658146964855,0.325
669475,Troy Claunch,50,34,9,86,30,7,136,64,16,0.47058823529411764,0.25,0.11764705882352941,0.36764705882352944,0.68,0.2647058823529412,0.6323529411764706,0.3488372093023256,0.23333333333333334
669649,Ty Duvall,5,5,1,6,3,2,11,8,3,0.7272727272727273,0.375,0.2727272727272727,0.45454545454545453,1.0,0.2,0.5454545454545454,0.5,0.6666666666666666
670076,Lyle Lin,151,106,24,215,77,29,366,183,53,0.5,0.2896174863387978,0.1448087431693989,0.412568306010929,0.7019867549668874,0.22641509433962265,0.587431693989071,0.3581395348837209,0.37662337662337664
670250,Eli Wilson,193,119,20,295,111,27,488,230,47,0.4713114754098361,0.20434782608695654,0.09631147540983606,0.39549180327868855,0.616580310880829,0.16806722689075632,0.6045081967213115,0.376271186440678,0.24324324324324326
670399,Jeffry Parra,216,131,28,428,151,41,644,282,69,0.43788819875776397,0.24468085106382978,0.10714285714285714,0.33540372670807456,0.6064814814814815,0.21374045801526717,0.6645962732919255,0.352803738317757,0.271523178807947
670548,Jose Mena,100,86,18,142,50,16,242,136,34,0.5619834710743802,0.25,0.14049586776859505,0.4132231404958678,0.86,0.20930232558139536,0.5867768595041323,0.352112676056338,0.32
